Name,Location,URL,Opening Hours,Ticket Prices (Adult),Ticket Prices (Student)
The Library of Saint Catherine’s Monastery,Saint Catherine’s Monastery,https://egymonuments.gov.eg/en/monuments/the-library-of-saint-catherine-s-monastery,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
The Fatimid Mosque,Saint Catherine’s Monastery,https://egymonuments.gov.eg/en/monuments/the-fatimid-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Bagawat Cemetery,New Valley Governorate (El Wadi El Gedid Governorate),https://egymonuments.gov.eg/en/monuments/bagawat-cemetery,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Madrasa and Khanaqah of Sultan al-Zahir Barquq,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/madrasa-and-khanaqah-of-sultan-al-zahir-barquq,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Sabil-Kuttab of Abd al-Rahman Katkhuda,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/sabil-kuttab-of-abd-al-rahman-katkhuda,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Madrasa and Mausoleum of al-Saleh Najm al-Din Ayyub,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/madrasa-and-mausoleum-of-al-salih-nagm-al-din-ayyub,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
House of Sitt Wasila,Cairo,https://egymonuments.gov.eg/en/monuments/house-of-sitt-wasila,{},N/A,N/A
Qubbat Al-Hawa Cemetery,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/qubbat-al-hawa-cemetery-1,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Elephantine,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/elephantine-1,"{""Sunday"": ""08:00 AM - 04:00 PM"", ""Monday"": ""08:00 AM - 04:00 PM"", ""Tuesday"": ""08:00 AM - 04:00 PM"", ""Wednesday"": ""08:00 AM - 04:00 PM"", ""Thursday"": ""08:00 AM - 04:00 PM"", ""Friday"": ""08:00 AM - 04:00 PM"", ""Saturday"": ""08:00 AM - 04:00 PM""}",N/A,N/A
Al Kab,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/al-kab,"{""Sunday"": ""07:00 AM - 05:00 PM"", ""Monday"": ""07:00 AM - 05:00 PM"", ""Tuesday"": ""07:00 AM - 05:00 PM"", ""Wednesday"": ""07:00 AM - 05:00 PM"", ""Thursday"": ""07:00 AM - 05:00 PM"", ""Friday"": ""07:00 AM - 05:00 PM"", ""Saturday"": ""07:00 AM - 05:00 PM""}",N/A,N/A
Aswan,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/aswan,{},N/A,N/A
Al-Bahnasa Tombs,Al-Minya,https://egymonuments.gov.eg/en/archaeological-sites/al-bahnasa-tombs,{},N/A,N/A
Amada Temples,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/amada-temples,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Temples of Wadi al Sebua,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/temples-of-wadi-al-sebua,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Abu Mina,Alexandria,https://egymonuments.gov.eg/en/archaeological-sites/abu-mina-1,"{""Sunday"": ""07:00 AM - 07:00 PM"", ""Monday"": ""07:00 AM - 07:00 PM"", ""Tuesday"": ""07:00 AM - 07:00 PM"", ""Wednesday"": ""07:00 AM - 07:00 PM"", ""Thursday"": ""07:00 AM - 07:00 PM"", ""Friday"": ""07:00 AM - 07:00 PM"", ""Saturday"": ""07:00 AM - 07:00 PM""}",N/A,N/A
Heliopolis,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/heliopolis,{},N/A,N/A
Abu Simbel,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/abu-simbel,"{""Sunday"": ""06:00 AM - 05:00 PM"", ""Monday"": ""06:00 AM - 05:00 PM"", ""Tuesday"": ""06:00 AM - 05:00 PM"", ""Wednesday"": ""06:00 AM - 05:00 PM"", ""Thursday"": ""06:00 AM - 05:00 PM"", ""Friday"": ""06:00 AM - 05:00 PM"", ""Saturday"": ""06:00 AM - 05:00 PM""}",N/A,N/A
Philae,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/philae,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Karnak,Luxor,https://egymonuments.gov.eg/en/archaeological-sites/karnak,"{""Sunday"": ""06:00 AM - 05:00 PM"", ""Monday"": ""06:00 AM - 05:00 PM"", ""Tuesday"": ""06:00 AM - 05:00 PM"", ""Wednesday"": ""06:00 AM - 05:00 PM"", ""Thursday"": ""06:00 AM - 05:00 PM"", ""Friday"": ""06:00 AM - 05:00 PM"", ""Saturday"": ""06:00 AM - 05:00 PM""}",N/A,N/A
Valley of the Kings,Luxor,https://egymonuments.gov.eg/en/archaeological-sites/valley-of-the-kings,"{""Sunday"": ""06:00 AM - 05:00 PM"", ""Monday"": ""06:00 AM - 05:00 PM"", ""Tuesday"": ""06:00 AM - 05:00 PM"", ""Wednesday"": ""06:00 AM - 05:00 PM"", ""Thursday"": ""06:00 AM - 05:00 PM"", ""Friday"": ""06:00 AM - 05:00 PM"", ""Saturday"": ""06:00 AM - 05:00 PM""}",N/A,N/A
Deir al-Bahari,Luxor,https://egymonuments.gov.eg/en/archaeological-sites/deir-al-bahari,"{""Sunday"": ""06:00 AM - 05:00 PM"", ""Monday"": ""06:00 AM - 05:00 PM"", ""Tuesday"": ""06:00 AM - 05:00 PM"", ""Wednesday"": ""06:00 AM - 05:00 PM"", ""Thursday"": ""06:00 AM - 05:00 PM"", ""Friday"": ""06:00 AM - 05:00 PM"", ""Saturday"": ""06:00 AM - 05:00 PM""}",N/A,N/A
Giza Plateau,Giza (Cairo),https://egymonuments.gov.eg/en/archaeological-sites/giza-plateau,"{""Sunday"": ""07:00 AM - 05:00 PM"", ""Monday"": ""07:00 AM - 05:00 PM"", ""Tuesday"": ""07:00 AM - 05:00 PM"", ""Wednesday"": ""07:00 AM - 05:00 PM"", ""Thursday"": ""07:00 AM - 05:00 PM"", ""Friday"": ""07:00 AM - 05:00 PM"", ""Saturday"": ""07:00 AM - 05:00 PM""}",N/A,N/A
Saqqara,Giza (Cairo),https://egymonuments.gov.eg/en/archaeological-sites/saqqara,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Gebel al-Silsila,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/gebel-el-silsila,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Dahshur,Giza (Cairo),https://egymonuments.gov.eg/en/archaeological-sites/dahshur,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Mary’s Tree,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/marys-tree-archaeological-site,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Tell Basta,Al-Sharkia,https://egymonuments.gov.eg/en/archaeological-sites/tal-basta,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
El Hawawish,Sohag,https://egymonuments.gov.eg/en/archaeological-sites/el-hawawish,"{""Sunday"": ""07:00 AM - 05:00 PM"", ""Monday"": ""07:00 AM - 05:00 PM"", ""Tuesday"": ""07:00 AM - 05:00 PM"", ""Wednesday"": ""07:00 AM - 05:00 PM"", ""Thursday"": ""07:00 AM - 05:00 PM"", ""Friday"": ""07:00 AM - 05:00 PM"", ""Saturday"": ""07:00 AM - 05:00 PM""}",N/A,N/A
El Sheikh Hamad (Athribis),Sohag,https://egymonuments.gov.eg/en/archaeological-sites/el-sheikh-hamad-athribis,"{""Sunday"": ""07:00 AM - 05:00 PM"", ""Monday"": ""07:00 AM - 05:00 PM"", ""Tuesday"": ""07:00 AM - 05:00 PM"", ""Wednesday"": ""07:00 AM - 05:00 PM"", ""Thursday"": ""07:00 AM - 05:00 PM"", ""Friday"": ""07:00 AM - 05:00 PM"", ""Saturday"": ""07:00 AM - 05:00 PM""}",N/A,N/A
Shali village in Siwa Oasis,Matrouh,https://egymonuments.gov.eg/en/archaeological-sites/shali-village-in-siwa-oasis,{},N/A,N/A
Beni Hasan,Al-Minya,https://egymonuments.gov.eg/en/archaeological-sites/beni-hasan,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Ayn Shams City,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/ayn-shams-city,{},N/A,N/A
Al-Mu'izz Street,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/al-muizz-street,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Cairo  Citadel,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/cairo-citadel,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Salah al-Din Square,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/salah-al-din-square,{},N/A,N/A
Al-Saliba Street,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/al-saliba-street,{},N/A,N/A
Al-Suyufiyya Street,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/al-suyufiyya-street,{},N/A,N/A
Al-Fustat (Old Cairo),Cairo,https://egymonuments.gov.eg/en/archaeological-sites/al-fustat-old-cairo,{},N/A,N/A
Alexandria,Alexandria,https://egymonuments.gov.eg/en/archaeological-sites/alexandria,{},N/A,N/A
Saint Catherine’s Monastery,South Sinai,https://egymonuments.gov.eg/en/archaeological-sites/saint-catherine-s-monastery,"{""Sunday"": ""08:45 AM - 12:45 PM"", ""Monday"": ""08:45 AM - 12:45 PM"", ""Tuesday"": ""08:45 AM - 12:45 PM"", ""Wednesday"": ""08:45 AM - 12:45 PM"", ""Thursday"": ""10:30 AM - 11:30 AM"", ""Friday"": ""08:45 AM - 12:45 PM""}",N/A,N/A
Graeco-Roman Museum,Alexandria,https://egymonuments.gov.eg/en/museums/graeco-roman-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
the National Museum of Suez,Suez,https://egymonuments.gov.eg/en/museums/the-national-museum-of-suez,"{""Sunday"": ""09:00 AM - 03:00 PM"", ""Monday"": ""09:00 AM - 03:00 PM"", ""Tuesday"": ""09:00 AM - 03:00 PM"", ""Wednesday"": ""09:00 AM - 03:00 PM"", ""Thursday"": ""09:00 AM - 03:00 PM"", ""Friday"": ""09:00 AM - 03:00 PM"", ""Saturday"": ""09:00 AM - 03:00 PM""}",N/A,N/A
National Military Museum,Cairo,https://egymonuments.gov.eg/en/museums/national-military-museum,"{""Sunday"": ""08:00 AM - 04:00 PM"", ""Monday"": ""08:00 AM - 04:00 PM"", ""Tuesday"": ""08:00 AM - 04:00 PM"", ""Wednesday"": ""08:00 AM - 04:00 PM"", ""Thursday"": ""08:00 AM - 04:00 PM"", ""Friday"": ""08:00 AM - 04:00 PM"", ""Saturday"": ""08:00 AM - 04:00 PM""}",N/A,N/A
Helwan Corner Museum,Cairo,https://egymonuments.gov.eg/en/museums/helwan-corner-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Nubia Museum,Aswan,https://egymonuments.gov.eg/en/museums/nubia-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Crocodile Museum,Aswan,https://egymonuments.gov.eg/en/museums/crocodile-museum,"{""Sunday"": ""07:00 AM - 09:00 PM"", ""Monday"": ""07:00 AM - 09:00 PM"", ""Tuesday"": ""07:00 AM - 09:00 PM"", ""Wednesday"": ""07:00 AM - 09:00 PM"", ""Thursday"": ""07:00 AM - 09:00 PM"", ""Friday"": ""07:00 AM - 09:00 PM"", ""Saturday"": ""07:00 AM - 09:00 PM""}",N/A,N/A
National Police Museum,Cairo,https://egymonuments.gov.eg/en/museums/national-police-museum,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Cairo International Airport Museum - Terminal 2,Cairo,https://egymonuments.gov.eg/en/museums/cairo-international-airport-museum-terminal-2,{},N/A,N/A
The Egyptian Museum,Cairo,https://egymonuments.gov.eg/en/museums/egyptian-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Museum of Islamic Art,Cairo,https://egymonuments.gov.eg/en/museums/museum-of-islamic-art,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
The Coptic Museum,Cairo,https://egymonuments.gov.eg/en/museums/the-coptic-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
National Museum of Egyptian Civilization(NMEC),Cairo,https://egymonuments.gov.eg/en/museums/national-museum-of-egyptian-civilization-nmec,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Cairo International Airport Museum - Terminal 3,Cairo,https://egymonuments.gov.eg/en/museums/cairo-international-airport-museum-terminal-3,{},N/A,N/A
Sharm al-Sheikh Museum,South Sinai,https://egymonuments.gov.eg/en/museums/sharm-al-sheikh-museum,"{""Sunday"": ""10:00 AM - 01:00 PM"", ""Monday"": ""10:00 AM - 01:00 PM"", ""Tuesday"": ""10:00 AM - 01:00 PM"", ""Wednesday"": ""10:00 AM - 01:00 PM"", ""Thursday"": ""10:00 AM - 01:00 PM"", ""Friday"": ""10:00 AM - 01:00 PM"", ""Saturday"": ""10:00 AM - 01:00 PM""}",N/A,N/A
The Royal Carriages Museum,Cairo,https://egymonuments.gov.eg/en/museums/the-royal-carriages-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Kafr El-Sheikh Museum,Kafr El-Sheikh,https://egymonuments.gov.eg/en/museums/kafr-el-sheikh-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Gayer Anderson Museum,Cairo,https://egymonuments.gov.eg/en/museums/gayer-anderson-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Manial Palace Museum,Cairo,https://egymonuments.gov.eg/en/museums/manial-palace-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Royal Jewelry Museum,Alexandria,https://egymonuments.gov.eg/en/museums/royal-jewelry-museum,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Mummification Museum,Luxor,https://egymonuments.gov.eg/en/museums/mummification-museum,"{""Sunday"": ""09:00 AM - 02:00 PM"", ""Monday"": ""09:00 AM - 02:00 PM"", ""Tuesday"": ""09:00 AM - 02:00 PM"", ""Wednesday"": ""09:00 AM - 02:00 PM"", ""Thursday"": ""09:00 AM - 02:00 PM"", ""Friday"": ""09:00 AM - 02:00 PM"", ""Saturday"": ""09:00 AM - 02:00 PM""}",N/A,N/A
Hurghada Museum,Red Sea,https://egymonuments.gov.eg/en/museums/hurghada-museum,"{""Sunday"": ""10:00 AM - 01:00 PM"", ""Monday"": ""10:00 AM - 01:00 PM"", ""Tuesday"": ""10:00 AM - 01:00 PM"", ""Wednesday"": ""10:00 AM - 01:00 PM"", ""Thursday"": ""10:00 AM - 01:00 PM"", ""Friday"": ""10:00 AM - 01:00 PM"", ""Saturday"": ""10:00 AM - 01:00 PM""}",N/A,N/A
Imhotep Museum,Giza (Cairo),https://egymonuments.gov.eg/en/museums/imhotep-museum,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
